file_keys,Funk-Ride2-b
7EyT37HqVeFEYewXoEKwbC2lufpv7mT1,0.27
ozdZ4FIxTdsGx9AyhAxVwuVP570vkUNz,0.7
rjKsjlicl0LOUDmeA5JrYh8m9ekAvifK,0.5
D0Ugx0TkziO6wjn9t5JpS1MngoOmfYyx,0.8
y3MHeXje9aN6gBl5THTuIXZgXSPZTvdN,0.46
HYKZ7WrWs4fISGZAfqC53y95quq594QZ,0.74
TI3eSrQnGm5EJcPtlCpa3OPBuiHjPWP9,0.37
SkbL3DYb7aFhBBiq6a6sCzOg80fESDsJ,0.5
IqKvAGnvldC668NuLSjwsl11HovKyz0u,0.33
bieCPJnxeisisscZXz9DEpegvxkFe8pp,0.69
aqszoUuJrsdCk2Wf8jImSZM0It4xqwdd,0.5
QT0XwGo4h4owJcK1zKS71E1xhlNwBwDE,0.9
V287aFRCCbvXICreXXX5vxoEyZeJ17aL,0.63
50PztXjRrRUhsBzOj7fwFHpEnAqA08h3,0.54
sHIHkwFXw08HxeqZ3mcdSstO1u8anv67,0.73
ztldzYsYw2aNnizH4wuwJXkHzEmnVbxE,0.56
aRnTu5UHdKevGRR7BUcDK7YpE4WuN1UV,0.25
Vm7xlnMo30ee0k1ne3kFtbvXTiUnIPd4,0.48
0TQVHnKsGmimjKm293mGRY2qC3t1KBK0,0.69
C2SxZqpu28TDIJe1Hc5w6zTaDlthXV17,0.66
5PbQMLjN7SZHF9skHbYwBCby3KH6cqsL,0.3
hqCWH3oHzV9Bo33aSJfwn7pH9rrJFWg9,0.57
Gv2liK1ZakBzWRUQMXDEPp43IZ7tnuS4,0.57
